Response ID,Response Status,Country Code,Region,With which gender do you identify? ,What is your age? ,What is your marital status? ,What is your race? ,What is your education level? ,In which City/County within the Roanoke Metropolitan Area do you live? ,,In which City/County within the Roanoke Metropolitan Area do you work? ,,What is the age of the firm/company/association you work in?,What is your (firm/company/association)' s size? (# number of employees or workers),If you commute to work how far is your work from your homeplace? ,Are you the owner or renter of your house? ,How many people in your household have jobs?,How many people currently live in your household?,What is your expected/desired family size in the future including yourself and any dependents?,What is your monthly earning? ,What is your industry sector?,What is your job title?,How many hours do you typically work per week at your current job?,How do you typically work in your current job? ,What is the level of importance of physical interactions with a team in order to perform your current job?,Regardless of your current working style (Remote or in-person) have you heard about anyone who works in the same profession as you but remotely no matter where?,Regardless of your current working style (Remote or in-person) have you come across any news or information sources indicating that your profession might be shifted either partially or completely towards remote work in the future?,On a scale of 1-5 please rate your agreement with the following statement: 'During the COVID-19 pandemic working from home using technological advancements in communication (e.g. Zoom Skype Teams) was efficient in performing my job tasks.',How do you usually transport to your workplace?,,,,,,Regardless of your current working style what is the future work style do you prefer? ,If you work in-person (commute to work) how would you rank your preferred living area within Roanoke Metropolitan Area considering your income and affordability? (1 is the most preferred)? ,,,,If you work remotely how would you rank your preferred areas to live within Roanoke Metropolitan Area considering your income and affordability? (1 is the most preferred)?,,,,In the past ten years how many times have you relocated your living place?,If you currently work in person in an urban area and live close to your workplace but your job is shifting to a partially remote you may be thinking about whether it makes sense to move to a suburban area. How would you contemplate relocating to the suburbs in this scenario?,If you currently work in person in an urban area and live close to your workplace but your job is shifting completely remote you may be thinking about whether it makes sense to move to a suburban area. How would you contemplate relocating to the suburbs in this scenario?,Your colleagues/friends have shifted to remote work and moved from an urban area to a suburban or rural area. Would you be able to consider a move to a rural area if you also have the option to work remotely like them?,Proximity to my workplace,Proximity to Centeral Business Area (CBD),Closest to amenities,Close to schools,Close to roads (Accessible),Close to transportation means,The sense of community (Belongingness),safety (less crime rate),Affordability for housing and living costs ,civilized and city lifestyle,rural and suburbia lifestyle,more spacious living space  & large lot size,Career growth opportunity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drive alone,Carpool or vanpool,"Public transportation (e.g., bus, train)",Bike,Walk,N/A (Work remotely),,City Center (Central Business District),Urban area,Suburban area ,Rural Area,City Center (Central Business District),Urban area,Suburban area ,Rural Area,,,,,Proximity to my workplace,Proximity to Centeral Business Area (CBD),Closest to amenities,Close to schools,Close to roads (Accessible),Close to transportation means,The sense of community (Belongingness),safety (less crime rate),Affordability for housing and living costs ,civilized and city lifestyle,rural and suburbia lifestyle,more spacious living space  &amp; large lot size,Career growth opportunity
102061302,Completed,US,VA,1,4,2,1,8,1,,1,,4,2,5,2,3,4,5,2,4,Architect,3,2,3,4,3,1,1,,,,,,3,1,2,3,4,2,1,3,4,2,3,,,4,2,3,4,2,3,5,5,3,4,3,5,5
102084379,Completed,US,VA,1,3,2,1,6,3,"ROANOKE, Virginia (24018)",3,"ROANOKE, Virginia (24018)",5,3,3,2,1,4,5,3,12,Engineering Manager,3,4,3,4,2,5,1,,,,,,1,3,2,1,4,3,2,1,4,3,2,2,1,4,3,5,2,5,1,5,5,5,5,3,5,4
102107857,Completed,US,VA,1,3,1,1,8,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24018)",5,2,5,2,1,4,3,2,4,Architect,3,4,3,5,2,4,,,1,,,,1,,,,,4,2,3,1,3,2,1,2,4,4,5,4,5,5,2,4,5,2,3,,5
102115313,Completed,US,VA,1,4,2,1,7,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",5,2,10,1,3,4,5,2,20,Dentist,3,2,3,6,2,3,,,,,,1,2,1,2,3,4,1,2,3,4,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
102117993,Completed,US,VA,1,3,2,1,8,3,"ROANOKE, Virginia (24018)",1,"ROANOKE, Virginia (24016)",4,3,5,2,1,4,5,4,16,Dentist ,3,2,5,1,1,3,1,,,,,,2,4,1,2,3,4,1,2,3,4,2,2,2,4,4,4,4,4,4,4,5,4,4,4,4,4
102123547,Completed,US,FL,1,3,1,1,6,1,"ROANOKE, Virginia (24001)",1,"ROANOKE, Virginia (24001)",5,2,3,2,1,1,5,3,11,Project Coordinator,3,3,5,3,1,5,1,,,,,,4,1,2,3,4,3,2,1,4,5,2,1,2,4,4,5,5,5,2,4,5,5,4,4,5,5
102130489,Completed,US,VA,1,5,2,1,6,1,"ROANOKE, Virginia (24016)",1,"ROANOKE, Virginia (24016)",4,2,15,2,2,2,2,2,7,Business owner ,3,3,4,3,2,4,1,,,,,,2,2,4,3,1,1,2,4,3,2,1,2,2,4,2,2,5,1,2,2,5,5,4,2,3,4
102132410,Completed,US,VA,2,5,4,1,6,1,"ROANOKE, Virginia (24015)",7,"VIRGINIA BEACH, Virginia (23454)",,5,,1,1,1,1,3,13,Program manager ,3,1,1,4,2,5,,,,,,1,1,,,,,2,1,4,3,3,,,1,1,5,4,1,5,2,4,5,2,5,3,3,4
102138551,Completed,US,MI,1,4,2,1,8,6,"FERRUM, Virginia (24088)",6,"FERRUM, Virginia (24088)",5,3,3,2,2,3,5,3,15,Assistant Professor ,3,3,3,3,2,4,1,,,,,,3,4,2,3,1,4,3,2,1,4,3,3,1,4,4,2,4,5,1,1,5,5,3,3,3,4
